published_date,title
2025-07-31,"Donald Trump tariffs: Why India’s stock market has not crashed, is resilient even after 25% tariff announ - Times of India"
2025-07-28,"Sensex ends 572 pts lower, Nifty below 24,700. Here are 5 reasons why the Indian stock market fell - The Economic Times"
2024-11-06,"Donald Trump wins US elections: What it means for Indian stock market, economy - India Today"
2024-12-04,Is the Indian market finally in the buy zone? Abhay Agarwal answers - The Economic Times
2025-07-15,"Indian stock market: 8 key things that changed overnight - Gift Nifty, Trump tariffs to China's economic data - Mint"
2025-07-20,"Stock market this week: US-India trade deal, Q1 earnings, FIIs top triggers for Dalal Street - Mint"
2025-05-20,"Stock market crash today: Nifty50 ends below 24,700; BSE Sensex tanks over 870 points - top 5 reasons mar - Times of India"
2025-07-09,BSE at 150: 7 companies that shaped the Sensex and India's economy - Business Standard
2024-10-18,Is India’s stock market riding too high? - Finshots
2025-05-01,"Stock market holidays 2025: Are NSE and BSE closed on May 1, 2025? - Times of India"
2024-05-30,The Indian Stock Market: How to Invest in the World's 5th-Largest Economy - Money US News.com
2024-12-17,The 'December' effect on Indian stock market & why it matters - The Economic Times
2023-12-26,How does the US market influence the Indian stock market? - Mint
2025-03-09,India fails to attract foreign investors after $1.3 trn mkt selloff: Report - Business Standard
2025-02-03,Indian stocks fall as sluggish middle-class spending hurts economy - Nikkei Asia
2025-05-06,"Pakistan stock market drops around 4% since Pahalgam terror attack, but India’s Sensex is up 1.5% - Times of India"
2025-02-17,"Rising US yields, global trade tensions draw FPIs away from Indian stock market. Will outflows persist? - Mint"
2025-06-03,"Stock market today: Nifty50 closes at 24,542; BSE Sensex tanks over 600 points – top reasons for the cras - Times of India"
2025-01-08,Indian Stock Market 2025: Balancing challenges with strong growth prospects - Mint
2025-06-20,Indian stock market: Israel-Iran war to India-US trade deal— 5 factors that hold keys to trend reversal on Dalal Street - Mint
2025-04-22,"Global economic slowdown could be temporary; current volatility an opportunity, says Arihant Capital Chairman - Mint"
2025-04-04,"TCS, Infosys to Coforge: Indian IT stocks bleed up to 6% as US recession fears mount. Is the worst yet to come? - Mint"
2024-09-26,China's economic boost: What experts say about its impact on Indian economy and stock market - Mint
2025-06-28,India’s $5.4 Trillion Stock Market Is Slowly Losing Its Edge in Asia - Bloomberg.com
2025-03-07,Indian IT stocks face fresh selloff on weak US economic data; Nifty IT tanks over 1% - Mint
2025-06-19,India’s future arenas: Engines of growth and dynamism - McKinsey & Company
2024-07-22,Possibility of overconfidence leading to expectation of greater returns in stock market a serious concern: Economic Survey - The Indian Express
2025-05-13,"Stock market today: Nifty50 ends below 24,600; BSE Sensex dips over 1,280 points - top 5 reasons markets - Times of India"
2024-12-25,How to Profit from India’s Economic and Stock Market Boom - Barron's
2024-02-22,"India's Stock Market to Soar to $10 Trillion by 2030, Jefferies Says - markets.businessinsider.com"
2025-01-31,"Market Highlights: Eco Survey buoys D-Street; Sensex up 741 pts, Nifty at 23,508; eyes on Budget now - Business Standard"
2025-04-07,₹14 lakh crore wiped off from Indian stock market as Trump tariffs unleash ‘economic nuclear war’ - Mint
2024-12-05,"Share Market Highlights 5 December 2024: Sensex, Nifty surge 1% as IT stocks rally on positive US economic outlook - BusinessLine"
2025-07-17,Stock market today: Nifty50 ends in red; BSE Sensex down 375 points - Times of India
2025-01-31,"INDIA’S EXPORTS GROW BY 6 PERCENT AS BOTH MERCHANDISE AND SERVICES EXPORTS OVERCOME GLOBAL HEADWINDS, GLOBAL COMPETITION AND RISING PROTECTIONISM: ECONOMIC SURVEY 2024-25 - PIB"
2024-02-27,How Indian stock market envision PM Modi's dream of 'Viksit Bharat' by 2047? Explained - Mint
2025-01-15,Donald Trump's second term: What it means for India's economy and stock market investors - Mint
2025-02-12,Beyond the Hype: Why India is Still a Compelling Bet in 2025 - VanEck
2025-09-05,Nifty 50 Explained: What It Means for India's Stock Market and Long-Term Investors - Business Standard
2024-05-02,Hedge funds make billions as India’s options market goes ballistic - The Economist
2025-05-07,Share Market Highlights 7 May 2025: Operation Sindoor jitters keep markets choppy; indices end slightly higher - BusinessLine
2024-11-15,"Explained: India’s market correction, links to China’s sub-par stimulus for its economy - The Indian Express"
2025-10-14,"Sensex Today | Nifty 50 | Stock Market LIVE Updates: Sensex falls over 300 pts, Nifty below 25,150; Nifty... - The Economic Times"
2024-12-10,India’s economy is likely to stand firm in an uncertain world - Goldman Sachs
2025-04-03,Trump’s Tariffs on India — real threat or hype? Top brokerages decode impact on sectors & economy - Mint
2025-04-01,"Sensex crashes 1,400 points. What's behind the stock market bloodbath? - India Today"
2025-09-25,"Connection of stock market with real economy seems to be decreasing with time, and it’s paradoxical - The Economic Times"
